Team,Compensation,Coach Name,Age,W2015,L2015,PCT2015,W2014,L2014,PCT2014,W2013,L2013,PCT2013
Arizona Cardinals,5000000,Bruce Arians,63,13,3,0.813,11,5,0.688,10,6,0.625
Atlanta Falcons,4500000,Dan Quinn,45,8,8,0.5,6,10,0.375,4,12,0.25
Baltimore Ravens,7000000,John Harbaugh,53,5,11,0.313,10,6,0.625,8,8,0.5
Buffalo Bills,4250000,Rex Ryan,53,8,8,0.5,9,7,0.563,6,10,0.375
Carolina Panthers,4000000,Ron Rivera,53,15,1,0.938,7,8,0.469,12,4,0.75
Chicago Bears,4250000,John Fox,60,6,10,0.375,5,11,0.313,8,8,0.5
Cincinnati Bengals,4500000,Marvin Lewis,57,12,4,0.75,10,5,0.656,11,5,0.688
Cleveland Browns,3500000,Mike Pettine,49,3,13,0.188,7,9,0.438,4,12,0.25
Dallas Cowboys,5000000,Jason Garrett,49,4,12,0.25,12,4,0.75,8,8,0.5
Denver Broncos,5000000,Gary Kubiak,54,12,4,0.75,12,4,0.75,13,3,0.813
Detroit Lions,4000000,Jim Caldwell,60,7,9,0.438,11,5,0.688,7,9,0.438
Green Bay Packers,6000000,Mike McCarthy,52,10,6,0.625,12,4,0.75,8,7,0.531
Houston Texans,5000000,Bill O'Brien,46,9,7,0.563,9,7,0.563,2,14,0.125
Indianapolis Colts,4500000,Chuck Pagano,55,8,8,0.5,11,5,0.688,11,5,0.688
Jacksonville Jaguars,3500000,Gus Bradley,49,5,11,0.313,3,13,0.188,4,12,0.25
Kansas City Chiefs,6000000,Andy Reid,57,11,5,0.688,9,7,0.563,11,5,0.688
Miami Dolphins,3500000,Joe Philbin,54,6,10,0.375,8,8,0.5,8,8,0.5
Minnesota Vikings,4000000,Mike Zimmer,59,11,5,0.688,7,9,0.438,5,10,0.344
New England Patriots,7500000,Bill Belichick,63,12,4,0.75,12,4,0.75,12,4,0.75
New Orleans Saints,8000000,Sean Payton,52,7,9,0.438,7,9,0.438,11,5,0.688
New York Giants,7000000,Tom Coughlin,69,6,10,0.375,6,10,0.375,7,9,0.438
New York Jets,4000000,Todd Bowles,52,10,6,0.625,4,12,0.25,8,8,0.5
Oakland Raiders,3500000,Jack Del Rio,52,7,9,0.438,3,13,0.188,4,12,0.25
Philadelphia Eagles,7000000,Chip Kelly,51,7,9,0.438,10,6,0.625,10,6,0.625
Pittsburgh Steelers,6000000,Mike Tomlin,43,10,6,0.625,11,5,0.688,8,8,0.5
San Diego Chargers,4000000,Mike McCoy,43,4,12,0.25,9,7,0.563,9,7,0.563
San Francisco 49ers,3500000,Jim Tomsula,47,5,11,0.313,8,8,0.5,12,4,0.75
Seattle Seahawks,8000000,Pete Carroll,64,10,6,0.625,12,4,0.75,13,3,0.813
St. Louis Rams,7000000,Jeff Fisher,57,7,9,0.438,6,10,0.375,7,9,0.438
Tampa Bay Buccaneers,5000000,Lovie Smith,57,6,10,0.375,2,14,0.125,4,12,0.25
Tennessee Titans,4000000,Ken Whisenhunt,53,3,13,0.188,2,14,0.125,7,9,0.438
Washington Redskins,5000000,Jay Gruden,48,9,7,0.563,4,12,0.25,3,13,0.188
